SYMBOL,Security Name
MAJESAUT,MAJESTIC AUTO LTD.-$
MANALIPETC,MANALI PETROCHEMICAL LTD.
BARODARY,BARODA RAYON CORPORATION LTD.
MFSL,Max Financial Services Ltd
MIDINDIA,MID INDIA INDUSTRIES LTD.
MIRCELECTR,MIRC ELECTRONICS LTD.
CENTENKA,CENTURY ENKA LTD.
MODTHREAD,MODERN THREADS (INDIA) LTD.
LORDSCHLO,LORDS CHLORO ALKALI LTD.
SPICEJET,SPICEJET LTD.
MOREPENLAB,MOREPEN LABORATORIES LTD.
MRF,MRF LTD.
HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.
NCC,NCC Limited
VEDL,Vedanta Limited
NAHARSPING,NAHAR SPINNING MILLS LTD.
NAPEROL,Naperol Investments Ltd
GRASIM,GRASIM INDUSTRIES LTD.
PEL,PIRAMAL ENTERPRISES LTD.
NIITLTD,NIIT LTD.
JAYKAY,JAYKAY ENTERPRISES LTD.
NIRLON,NIRLON LTD.
ONGC,Oil and Natural Gas Corporation Ltd
OILCOUNTUB,OIL COUNTRY TUBULAR LTD.
ORIENTHOT,ORIENTAL HOTELS LTD.
OSWALAGRO,OSWAL AGRO MILLS LTD.
INDSUCR,INDIAN SUCROSE LTD.
PANCM,PANYAM CEMENTS & MINERAL INDUSTRIES LTD.
RELIANCE,RELIANCE INDUSTRIES LTD.
PILITA,Pil Italica Lifestyle Ltd
RAYMOND,RAYMOND LTD.
PIDILITIND,PIDILITE INDUSTRIES LTD.
PIXTRANS,PIX TRANSMISSIONS LTD.
BIRLACORPN,BIRLA CORPORATION LTD.
SURYAROSNI,SURYA ROSHNI LTD.
PRIMESECU,PRIME SECURITIES LTD.
PRSMJOHNSN,Prism Johnson Ltd
RAIN,Rain Industries Ltd
PRUDMOULI,PRUDENTIAL SUGAR CORPORATION LTD.
AMJLAND,AMJ Land Holdings Ltd
PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$
RSWM,RSWM LTD.
RAJSREESUG,RAJSHREE SUGARS & CHEMICALS LTD.
RALLIS,RALLIS INDIA LTD.
RAMANEWS,SHREE RAMA NEWSPRINT LTD.
RAMAPPR-B,RAMA PAPER MILLS LTD.
RAPICUT,RAPICUT CARBIDES LTD.
WELSPLSOL,Welspun Specialty Solutions Ltd
ROLTA,ROLTA INDIA LTD.
RUBFILA,RUBFILA INTERNATIONAL LTD.
PATANJALI,Patanjali Foods Ltd
SALORAINTL,SALORA INTERNATIONAL LTD.
JINDALSAW,JINDAL SAW LTD.
JKLAKSHMI,JK LAKSHMI CEMENT LTD.
SHREECEM,SHREE CEMENT LTD.
SKPMIL,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.
SILVERLINE,SILVERLINE TECHNOLOGIES LTD.
RELINFRA,RELIANCE INFRASTRUCTURE LTD.
TATAPOWER,TATA POWER CO.LTD.
SPMLINFRA,SPML Infra Limited
SUNDRMFAST,SUNDRAM FASTENERS LTD.
SUNFLAG,SUNFLAG IRON & STEEL CO.LTD.
SPLPETRO,SUPREME PETROCHEM LTD.
SWARAJENG,SWARAJ ENGINES LTD.
TATAELXSI,TATA ELXSI LTD.
ACC,ACC LTD.
THERMAX,THERMAX LTD.
TIRUMALCHM,THIRUMALAI CHEMICALS LTD.
THOMASCOOK,THOMAS COOK (INDIA) LTD.
TIMEX,TIMEX GROUP INDIA LTD.-$
TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.
TORNTPHARM,TORRENT PHARMACEUTICALS LTD.
TPINDIA,TPI INDIA LTD.
TRANSCHEM,TRANSCHEM LTD.-$
AMBUJACEM,AMBUJA CEMENTS LTD.
UTLINDS,UTL Industries Limited
UNIENTER,UNIPHOS ENTERPRISES LTD.
VHL,VARDHMAN HOLDINGS LTD.
HINDALCO,HINDALCO INDUSTRIES LTD.
WSTCSTPAPR,WEST COAST PAPER MILLS LTD.
HOCL,HINDUSTAN ORGANIC CHEMICALS LTD.
MPILCORPL,MPIL CORPORATION LTD.
PASUPTAC,PASUPATI ACRYLON LTD.
KORE,Kore Foods Ltd
PGHH,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.
MUKANDLTD,MUKAND LTD.
BBOX,Black Box Ltd
UCAL,Ucal  Ltd
HARRMALAYA,HARRISONS MALAYALAM LTD.
FEDERALBNK,FEDERAL BANK LTD.
TATASTEEL,TATA STEEL LTD.
SKFINDIA,SKF India Ltd
ASHOKLEY,ASHOK LEYLAND LTD.
CUMMINSIND,CUMMINS INDIA LTD.
TATACOMM,TATA COMMUNICATIONS LTD.
ABBOTINDIA,ABBOTT INDIA LTD.
BAJAJHLDNG,BAJAJ HOLDINGS & INVESTMENT LTD.
BHARATFORG,BHARAT FORGE LTD.
ESCORTS,Escorts Kubota Ltd
HINDMOTORS,HINDUSTAN MOTORS LTD.
LT,LARSEN & TOUBRO LTD.
M&M,MAHINDRA & MAHINDRA LTD.
BOSCHLTD,BOSCH LTD.
BPCL,BHARAT PETROLEUM CORPORATION LTD.
SIEMENS,SIEMENS LTD.
TATAMOTORS,TATA MOTORS LTD.
VOLTAS,VOLTAS LTD.
GESHIP,GREAT EASTERN SHIPPING CO.LTD.
DEEPAKFERT,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.
EXCELINDUS,EXCEL INDUSTRIES LTD.
GRWRHITECH,Garware Hi-Tech Films Ltd
GLAXO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.
GNFC,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.
NOVARTIND,NOVARTIS INDIA LTD.
SANOFI,Sanofi India Ltd
PFIZER,PFIZER LTD.
GSFC,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.
HINDUNILVR,HINDUSTAN UNILEVER LTD.
AKZOINDIA,Akzo Nobel India Limited
NOCIL,NOCIL LTD.
TATACHEM,TATA CHEMICALS LTD.
TNPETRO,TAMILNADU PETROPRODUCTS LTD.
ZUARIIND,Zuari Industries Ltd
NESTLEIND,NESTLE INDIA LTD.
TATACONSUM,Tata Consumer Products Ltd
ASIANPAINT,ASIAN PAINTS LTD.
BRITANNIA,BRITANNIA INDUSTRIES LTD.
COLPAL,COLGATE-PALMOLIVE (INDIA) LTD.
EIHOTEL,EIH LTD.
INDHOTEL,INDIAN HOTELS CO.LTD.
CASTROLIND,CASTROL INDIA LTD.
ITC,ITC LTD.
APOLLOTYRE,APOLLO TYRES LTD.
CEATLTD,CEAT LTD.
MODIRUBBER,MODI RUBBER LTD.
FINPIPE,FINOLEX INDUSTRIES LTD.
SUNRINV,SUNRISE INDUSTRIAL TRADERS LTD.
ZGOLDINV,GOLD ROCK INVESTMENTS LTD.
PEOPLIN,PEOPLES INVESTMENTS LTD.
DSINVEST,DALAL STREET INVESTMENTS LTD.
CENTRUM,CENTRUM CAPITAL LTD.
TCIFINANCE,TCI FINANCE LTD.
KRATOSENER,KRATOS ENERGY & INFRASTRUCTURE LTD.
ANTARIKSH,Antariksh Industries Ltd
IITL,INDUSTRIAL INVESTMENT TRUST LTD.
INDPRUD,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.
TATAINVEST,TATA INVESTMENT CORPORATION LTD.
JAYBHCR,JAYABHARAT CREDIT LTD.-$
PRISMX,Prismx Global Ventures Ltd
MOTOGENFIN,MOTOR & GENERAL FINANCE LTD.
RAPIDIN,RAPID INVESTMENTS LTD.
WALCHPF,WALCHAND PEOPLEFIRST LTD.
ZSWASTSA,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.
WHBRADY,W.H.BRADY & CO.LTD.
TECHNVISN,TECHNVISION VENTURES LTD.
SHAILY,SHAILY ENGINEERING PLASTICS LTD.
BBTC,BOMBAY BURMAH TRADING CORP.LTD.
BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LTD.
GREAVESCOT,GREAVES COTTON LTD.
MULLER,MULLER & PHIPPS (INDIA) LTD.
SFTL,Springform Technology Ltd
AMALGAM,AMALGAMATED ELECTRICITY CO.LTD.
ANANDPROJ,Anand Projects Ltd
INDIANVSH,INDIANIVESH LTD.
COASTCORP,COASTAL CORPORATION LTD.
CHOWGULSTM,CHOWGULE STEAMSHIPS LTD.
GLOBOFFS,GLOBAL OFFSHORE SERVICES LTD.-$
DHENUBUILD,DHENU BUILDCON INFRA LTD.
ASIIL,ASI Industries Ltd
SAGCEM,SAGAR CEMENTS LTD.-$
HEMACEM,HEMADRI CEMENTS LTD.
DECCANCE,DECCAN CEMENTS LTD.-$
